name,dataset,tr_mse,tr_r2,tr_mae,tr_rmse,dataset2,val_mse,val_r2,val_mae,val_rmse,dataset3,te_mse,te_r2,te_mae,te_rmse,name,dataset,gen_mse,gen_r2,gen_mae,gen_rmse
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_3_223,Train,0.14840306,0.971452540485224,0.30468652,0.38530686,Validation,3.8048637,0.194549745487292,1.5546434,1.9564533,Test,4.2877445,-0.000716425683753,1.7808598,2.069444,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_3_223,Generalisation,4.4296713,-0.115500988081575,1.6422739,2.103538
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_4_180,Train,5.0626955,0.006954898500013,1.9263077,2.2520041,Validation,5.0778503,-0.024180465829209,1.8217913,2.2485847,Test,6.300395,-0.34660040507669,2.0575352,2.4938533,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_4_180,Generalisation,6.918777,-0.745277851454386,2.0704215,2.6304333
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_5_73,Train,1.2875533,0.748576224487454,0.9015735,1.1312813,Validation,2.5934377,0.41170571291119,1.3100076,1.5964874,Test,4.544455,0.125407833572099,1.7095064,2.1238253,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_4_5_73,Generalisation,4.8410506,-0.219777917438653,1.7457526,2.2000203
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_5_129,Train,0.85157025,0.824076528852413,0.74325466,0.92299974,Validation,5.87275,0.167508916934688,2.0055907,2.4274824,Test,5.86463,-0.200744484181274,1.973349,2.4217083,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_5_129,Generalisation,4.0984497,-0.032667391242808,1.59936,2.0245147
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_4_113,Train,0.06923085,0.986530627693506,0.20566551,0.26428312,Validation,3.5571733,0.223282813670567,1.4992353,1.8877677,Test,3.7771285,0.161484629022856,1.6755649,1.9415455,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_4_113,Generalisation,3.779114,0.047423086761817,1.539324,1.9442617
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_3_126,Train,0.11187329,0.977331149114454,0.2702629,0.33449042,Validation,2.9598012,0.384857977691417,1.4071705,1.7183164,Test,5.4324903,0.134571623004891,1.9695294,2.334874,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_3_126,Generalisation,4.0231504,-0.014035712066362,1.5882967,2.0060802
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_2_126,Train,0.24878353,0.947797776732758,0.40097037,0.49989983,Validation,4.4817314,0.058483378322653,1.7749889,2.1141868,Test,5.2671785,0.274860308319751,2.0015478,2.2963955,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_2_126,Generalisation,4.109088,-0.035570246421672,1.6141108,2.0272279
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_1_225,Train,2.2576435,0.571313508926563,1.2449571,1.5001153,Validation,3.290155,0.401316416095315,1.5173515,1.8079898,Test,3.3230278,-0.117188468274681,1.4943413,1.8242743,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_5_1_225,Generalisation,4.745071,-0.19598728190758,1.7332071,2.178356
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_1_218,Train,1.6355245,0.666989678289613,1.0253817,1.2808366,Validation,4.506936,0.059543071108871,1.7945477,2.1175268,Test,5.181443,0.17104665616817,1.8569223,2.2772608,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_1_218,Generalisation,4.154557,-0.046906529447253,1.6227518,2.038067
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_2_185,Train,0.05184921,0.989503708266296,0.17629604,0.22763619,Validation,4.3930345,0.169365040176486,1.6819723,2.0966403,Test,3.934541,0.348350525012066,1.7274777,1.9914151,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_2_185,Generalisation,3.4926276,0.119917860455599,1.4916312,1.8690182
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_3_40,Train,3.4190278,0.32766158397925,1.496471,1.8498374,Validation,2.7159023,0.474717547388442,1.3433851,1.642214,Test,4.760608,-0.027085473448593,1.7871792,2.1841142,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_3_40,Generalisation,4.250422,-0.070866827334857,1.5914162,2.0628564
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_4_81,Train,1.0349232,0.793169006269236,0.81571573,1.0183494,Validation,4.3432465,0.357649058691507,1.7500031,2.082336,Test,2.7024,0.240650135395848,1.3959938,1.6387279,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_4_81,Generalisation,4.137566,-0.042826685709498,1.6217242,2.0340638
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_5_157,Train,0.08812131,0.983632960590057,0.23367618,0.29585546,Validation,3.1721268,0.155488750503044,1.5071703,1.7804667,Test,5.132136,-0.41751792659857,1.7683047,2.2645242,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp2_6_5_157,Generalisation,5.209333,-0.3133128212757,1.646381,2.2826746
